ModuleCode,ClassNo,LessonType,DayCode,DayText,StartTime,EndTime,Venue,AcadYear,Semester
PC1221,T3,TUTORIAL,4,Thursday,1400,1500,S11-0301,2013/2014,1
PC1221,T9,TUTORIAL,4,Thursday,1500,1600,S11-0301,2013/2014,1
PC1142,T5B,TUTORIAL,5,Friday,1100,1200,S11-0301,2013/2014,1
PC1221,T5,TUTORIAL,5,Friday,1400,1500,S11-0301,2013/2014,1
PC1325,E08,TUTORIAL,5,Friday,1500,1600,S11-0301,2013/2014,1
PC1431,U12,LABORATORY,1,Monday,900,1200,S11-0302,2013/2014,1
PC1431,D01,LABORATORY,1,Monday,1400,1700,S11-0302,2013/2014,1
PC1431,D12,LABORATORY,2,Tuesday,900,1200,S11-0302,2013/2014,1
PC1431,A10,LABORATORY,2,Tuesday,1400,1700,S11-0302,2013/2014,1
PC1431,A08,LABORATORY,3,Wednesday,900,1200,S11-0302,2013/2014,1
PC1431,D09,LABORATORY,3,Wednesday,1400,1700,S11-0302,2013/2014,1
PC1431,A13,LABORATORY,4,Thursday,900,1200,S11-0302,2013/2014,1
PC1431,A03,LABORATORY,4,Thursday,1400,1700,S11-0302,2013/2014,1
PC1431,D15,LABORATORY,5,Friday,900,1200,S11-0302,2013/2014,1
PC1431,A06,LABORATORY,5,Friday,1400,1700,S11-0302,2013/2014,1
PC1432,C03,LABORATORY,1,Monday,900,1200,S11-0401,2013/2014,1
PC1432,C06,LABORATORY,1,Monday,1400,1700,S11-0401,2013/2014,1
PC5214,SL1,LECTURE,1,Monday,1800,2000,S11-0401,2013/2014,1
PC1432,U01,LABORATORY,2,Tuesday,900,1200,S11-0401,2013/2014,1
PC1432,U05,LABORATORY,2,Tuesday,1400,1700,S11-0401,2013/2014,1
PC1432,C04,LABORATORY,4,Thursday,1400,1700,S11-0401,2013/2014,1
PC5214,SL1,LECTURE,4,Thursday,1800,2000,S11-0401,2013/2014,1
PC1432,U03,LABORATORY,5,Friday,900,1200,S11-0401,2013/2014,1
PC1432,C02,LABORATORY,5,Friday,1400,1700,S11-0401,2013/2014,1
PC1222,B1,LABORATORY,1,Monday,1400,1700,S12-0402,2013/2014,1
PC1222,B3,LABORATORY,2,Tuesday,1400,1700,S12-0402,2013/2014,1
PC1222,B5,LABORATORY,3,Wednesday,1400,1700,S12-0402,2013/2014,1
PC1222,B8,LABORATORY,4,Thursday,1400,1700,S12-0402,2013/2014,1
PC1326,L11,TUTORIAL,2,Tuesday,1400,1500,S13-0414,2013/2014,1
PC1326,L12,TUTORIAL,2,Tuesday,1500,1600,S13-0414,2013/2014,1
PC1326,L13,TUTORIAL,2,Tuesday,1600,1700,S13-0414,2013/2014,1
PC1222,T5,TUTORIAL,4,Thursday,900,1000,S13-0414,2013/2014,1
PC1222,T6,TUTORIAL,4,Thursday,1000,1100,S13-0414,2013/2014,1
PC2130B,SL1,LECTURE,1,Monday,800,1000,S14-0619,2013/2014,1
BL5234,SL1,LECTURE,1,Monday,1000,1200,S14-0619,2013/2014,1
PC3238,SL1,LECTURE,1,Monday,1400,1600,S14-0619,2013/2014,1
PC2130B,SL1,LECTURE,3,Wednesday,800,1000,S14-0619,2013/2014,1
PC3238,SL1,LECTURE,3,Wednesday,1400,1600,S14-0619,2013/2014,1
BL5234,SL1,LECTURE,4,Thursday,1000,1200,S14-0619,2013/2014,1
CS1010S,1,RECITATION,4,Thursday,1200,1300,S14-0619,2013/2014,1
CS1010S,2,RECITATION,4,Thursday,1300,1400,S14-0619,2013/2014,1
CS1010S,3,RECITATION,5,Friday,1200,1300,S14-0619,2013/2014,1
CS1010S,4,RECITATION,5,Friday,1300,1400,S14-0619,2013/2014,1
BL5207A,SL1,LECTURE,2,Tuesday,800,1000,S14-0620,2013/2014,1
PC3274,SL1,LECTURE,2,Tuesday,1000,1200,S14-0620,2013/2014,1
BL5207A,SL1,LECTURE,5,Friday,800,1000,S14-0620,2013/2014,1
PY1105,ST3,TUTORIAL,5,Friday,1000,1200,S14-0620,2013/2014,1
ES1541,LM1,SECTIONAL TEACHING,1,Monday,800,1000,S16-0202,2013/2014,1
SP1203,ST1,TUTORIAL,2,Tuesday,800,1000,S16-0202,2013/2014,1
SP1203,ST4,TUTORIAL,2,Tuesday,1000,1200,S16-0202,2013/2014,1
PR1101,ST1,TUTORIAL,3,Wednesday,900,1200,S16-0202,2013/2014,1
FMS1223B,SL1,SEMINAR-STYLE MODULE CLASS,3,Wednesday,1600,1800,S16-0202,2013/2014,1
ES1541,LM1,SECTIONAL TEACHING,4,Thursday,800,1000,S16-0202,2013/2014,1
SP1203,ST1,TUTORIAL,5,Friday,800,1000,S16-0202,2013/2014,1
SP1203,ST4,TUTORIAL,5,Friday,1000,1200,S16-0202,2013/2014,1
ST1232,T4,TUTORIAL,2,Tuesday,900,1000,S16-0307,2013/2014,1
PC3274,SL1,LECTURE,2,Tuesday,1000,1200,S16-0307,2013/2014,1
PY1105,ST3,TUTORIAL,5,Friday,1000,1200,S16-0307,2013/2014,1
SP1202,S1,SECTIONAL TEACHING,2,Tuesday,1000,1200,S16-0309,2013/2014,1
CM5198,SL2,SEMINAR-STYLE MODULE CLASS,2,Tuesday,1800,2000,S16-0309,2013/2014,1
ST1232,T9,TUTORIAL,4,Thursday,1100,1200,S16-0309,2013/2014,1
SP1202,S1,SECTIONAL TEACHING,5,Friday,1000,1200,S16-0309,2013/2014,1
ES1102,S07,SECTIONAL TEACHING,5,Friday,1200,1400,S16-0309,2013/2014,1
CM5198,SL1,SEMINAR-STYLE MODULE CLASS,5,Friday,1800,2000,S16-0309,2013/2014,1
ES1541,PT3,SECTIONAL TEACHING,2,Tuesday,1000,1200,S16-03ALR,2013/2014,1
ES1541,CA4,SECTIONAL TEACHING,2,Tuesday,1200,1400,S16-03ALR,2013/2014,1
ES1541,PT3,SECTIONAL TEACHING,5,Friday,1000,1200,S16-03ALR,2013/2014,1
ES1541,CA4,SECTIONAL TEACHING,5,Friday,1200,1400,S16-03ALR,2013/2014,1
LSM4266,SL1,LECTURE,3,Wednesday,800,1200,S16-0430,2013/2014,1
PY1105,ST3,TUTORIAL,5,Friday,1000,1200,S16-0430,2013/2014,1
MA3265,SL1,LECTURE,5,Friday,1200,1400,S16-0430,2013/2014,1
ST1232,T1,TUTORIAL,2,Tuesday,900,1000,S16-0431,2013/2014,1
MA1311,T01,TUTORIAL,4,Thursday,900,1000,S16-0431,2013/2014,1
MA2101,T08,TUTORIAL,5,Friday,900,1000,S16-0431,2013/2014,1
MA2311,T03,TUTORIAL,5,Friday,1500,1600,S16-0431,2013/2014,1
MA1421,T03,TUTORIAL,2,Tuesday,1400,1500,S16-0433,2013/2014,1
MA1421,T04,TUTORIAL,2,Tuesday,1500,1600,S16-0433,2013/2014,1
MA1421,T05,TUTORIAL,4,Thursday,1300,1400,S16-0433,2013/2014,1
MA1421,T06,TUTORIAL,4,Thursday,1400,1500,S16-0433,2013/2014,1
MA1421,T07,TUTORIAL,4,Thursday,1500,1600,S16-0433,2013/2014,1
ES2007S,4,SECTIONAL TEACHING,1,Monday,1400,1600,S16-0435,2013/2014,1
SP1203,ST2,TUTORIAL,2,Tuesday,800,1000,S16-0435,2013/2014,1
SP1203,ST6,TUTORIAL,2,Tuesday,1000,1200,S16-0435,2013/2014,1
ES1102,S07,SECTIONAL TEACHING,2,Tuesday,1200,1400,S16-0435,2013/2014,1
ES2007S,4,SECTIONAL TEACHING,4,Thursday,1400,1600,S16-0435,2013/2014,1
SP1203,ST2,TUTORIAL,5,Friday,800,1000,S16-0435,2013/2014,1
SP1203,ST6,TUTORIAL,5,Friday,1000,1200,S16-0435,2013/2014,1
PC3235,SL1,LECTURE,1,Monday,800,1000,S16-0436,2013/2014,1
ES2007S,5,SECTIONAL TEACHING,2,Tuesday,1000,1200,S16-0436,2013/2014,1
PR1101,ST2,TUTORIAL,3,Wednesday,900,1200,S16-0436,2013/2014,1
PR1101,ST2,TUTORIAL,3,Wednesday,1400,1700,S16-0436,2013/2014,1
